seq,word,meaning,len
301,혼동,"서로 다른 것을 구별하지 못하고 뒤섞어서 생각함.
서로 뒤섞여 하나가 됨.",2
302,혼란,뒤죽박죽이 되어 어지럽고 질서가 없음.,2
303,혼잡,여러 가지가 한데 뒤섞여 어지럽고 복잡함.,2
304,확인,틀림없이 그러한지를 알아보거나 인정함.,2
305,활동,"몸을 움직여 행동함.
어떤 일에서 좋은 결과를 거두기 위해 힘씀.",2
306,활약,활발히 활동함.,2
307,활용,"어떤 대상이 가지고 있는 쓰임이나 능력을 충분히 잘 이용함.
문법적 관계를 나타내기 위해 용언의 꼴을 조금 바꿈.",2
308,효과,"어떠한 것을 하여 얻어지는 좋은 결과.
영화나 연극 등에서 소리나 빛, 컴퓨터 그래픽 등을 이용하여 그 장면에 어울리는 분위기를 만드는 일.",2
309,흡수,"안이나 속으로 빨아들임.
외부에 있는 사람이나 사물 등을 내부로 모여들게 함.",2
310,희귀,많이 없거나 쉽게 만날수 없어서 매우 특이하거나 귀하다.,2
311,정확도,바르고 확실한 정도.,3
312,간결성,"글이나 말, 혹은 예술 작품 등이 군더더기가 없고 간단하며 깔끔한 성질.",3
313,다양성,"모양, 색, 구성 등이 여러 가지 많은 특성.",3
314,세계적,규모나 영향 등이 세계 전체에 미치거나 세계에서 가장 뛰어난 것.,3
315,소극적,스스로 하려는 의지가 부족하고 활동적이지 않은 것.,3
316,심각성,매우 깊고 중대하며 절박한 성질.,3
317,온라인,인터넷을 통해 다른 컴퓨터와 연결되거나 다른 컴퓨터에 접근이 가능한 상태.,3
318,온전성,잘못된 것이 없이 바르거나 옳은 성질.,3
319,자동적,"다른 힘을 빌리지 아니하고 저절로 움직이거나 작용하는 것.
의사와 상관없이 이루어지거나 어떤 절차 없이 바로 이루어지는 것.",3
320,적극성,어떤 일에 대한 태도에 있어 자발적이고 긍정적인 성질.,3
321,정교성,솜씨나 기술 따위가 정밀하고 뛰어난 성질.,3
322,정당성,이치에 맞아 올바른 성질.,3
323,타당성,사물의 이치에 맞아 올바른 성질.,3
324,확실성,틀림없이 그러한 성질.,3
325,복잡하다,"일, 감정 등이 정리하기 어려울 만큼 여러 가지가 얽혀 있다.
어떤 것들이 한곳에 복작거려 어수선하다.",4
326,프로그램,"어떤 행사의 진행 계획이나 순서를 적은 목록. 또는 그 행사의 세부 항목.
라디오나 텔레비전 등에서 시간별로 나뉘어 방송되는 내용. 또는 그 차례나 목록.
컴퓨터에 어떤 명령을 하기 위해 그 작업의 차례나 방법을 컴퓨터 언어로 기술한 것.",4
327,간략하다,간단하고 짤막하다.,4
328,급격하다,변화의 속도가 매우 빠르다.,4
329,방대하다,규모나 양이 매우 크거나 많다.,4
330,아이디어,새롭고 기발한 생각.,4
331,오프라인,컴퓨터나 통신 기기가 네트워크나 인터넷 등에 연결되어 있지 않은 상태.,4
332,의사소통,생각이나 말 등이 서로 통함.,4
333,탁월하다,남보다 훨씬 뛰어나다.,4
334,평이하다,까다롭거나 어렵지 않고 쉽다.,
335,확고하다,태도나 상황 등이 확실하고 굳세다.,4
336,희박하다,"기체나 액체 등의 밀도나 농도가 짙지 못하고 낮거나 엷다.
감정이나 정신 상태 등이 부족하거나 약하다.
어떤 일이 이루어질 가능성이 적다.",4
